name,Description
Pink In All Its Cuteness Dress,Pink floral printed rayon dress. Fit and flare silhouette. V neck with front buttons for show. Short sleeves and attached frill at hemline. Elasticated waist for fit and ease.
Yellow At The Edge Of The Desire Gown,Yellow Polyester Georgette Gown with Polyester Knit Lining inside for comfort. Wrap Style with gathers and Adjustable Shoulder Straps. Concealed Side Zipper on the left for fastening and ease.
White Round Neck Pleated Top,"This off white top by FableStreet is crafted in cotton and features a keyhole neck, 3/4th sleeves and a pleated detailing on the front. Buy this top online and pair it with straight pants and heels to complete the look."
Torqadorn Olive Midi Dress,"Prom date nights to brunches or cocktails with the girls, you have found this midi dress in summer suede by Torqadorn for any occasion. Accentuated with box pleated pockets, shoulder epaulets, concealed placket leading to a dramatic front slit, this creation is one you will reach out for time and time again."
Neon Pink Crew Neck Distressed Brand Print T-Shirt,A distressed print cotton tee is an effortless choice for off-duty days. This pink version by Aeropostale is cut in a regular fit and has a crew neck and short sleeves. Team yours with pared-back separates.
White Notch Neck Crinkle Top,"Freshen up your casual rotation with this crinkled top from GAP. Woven from light viscose, it's fitted with a notched neck, long sleeves with elasticized cuffs and lace trims. Wear yours with skinny pants and slides."
Black Stylish Solid Casual Hooded Sweatshirt,"Freshen up your winter wardrobe with this sweatshirt for women from Campus Sutra. This sweatshirt is made of 100% cotton, the cotton fabric of sweatshirt spells pure comfort and warmth. Fetch a casual and cool look for yourself by teaming it with a pair of jeans and sneakers."
Cotton Flex Black Peplum Tunic With Cigarette Pant (Set of 2),"This black peplum top set by Fabnest is crafted in cotton and comes with a pair of cigarette pants. The top features a V-neck, 3/4th sleeves, soft gather details on the empire line and a regular fit. The pants feature a mid-rise waist, tapered ankles and a regular fit. Style this set with a pair of black heels and statement accessories to complete the look. Buy this set online."
Blue The Stripe Story Crop Top,Blue pinstripe printed cotton crop top. Adjustable shoulder straps with a flap layer on the front and back. Broad smocked waist band along with frill detailing at hemline.
Black And White Sweater,"This black and white sweater by Vero Moda is crafted in wool and features a round neck, long sleeves and a regular fit. Buy this sweater online and style it with a pair of skinny jeans and platform heels to make a statement."
Multicolor Bell Sleeve Top,Make an elegant statement with this multicolored top from jaipur kurti. Style this top with a pair of skinny denims and high heels to complete the look.
Round Neck Half Sleeves Long Dress With Camisole,Round Neck Half Sleeves Long Dress With Camisole
Maroon I Like That Slit Jumpsuit,Inspire chic finesse in your line-up with this maroon jumpsuit from Twenty Dresses. Style With: Look Glamorous by pairing it with a sequined clutch and a pair of black block heels!
White Only For You Shift Dress,"Created in polyester lycra with a polyester knit lining, this short dress serves as the perfect blank slate - dress it up or down. It features a tube neckline, an elasticated back and a concealed zipper on the left for closure. Style with: A pair of nude heels, a chain crossbody bag and classic diamond studs. The model (height 5'6"") is wearing a size XS"
Red Lady Like Floral Top,Red multicolor floral printed rayon peplum top. Wide queen anne neckline with tie up and wooden buttons on the mock center front placket. Flared half sleeves with elastic on shoulder. Cotton voile lining inside for comfort. Concealed side zipper for fastening and ease.
Black The Timeless Polka Flared Dress,"Featuring polka dot print details all over, this black flared dress from Twenty Dresses is a must-have in your casual wardrobe. Style With: Complement the spotty trend with a pair of high heels or pointy toe flats, a shoulder bag & statement studs for a smart casual look."
Navy Blue Spunk Embroidered Midi Dress,"True to its name, ‘spunk’, this dress carries a fortitude and girl-next-door along with a tint of grit in one’s personality. A day out with your girls or an office off-site, this charming dress has the Orion front at its bottom right & on back has the Aries constellation pattern embroidery. With a striking yet subtle mirror work on this collared shirt dress, and the phases of the moon the collar edge, flaps, dual pockets and running stitches make this one a chirpy garment to sport."
Multi-Color Belted Striped Wrap Jumpsuit,"Get ready for a summer look in this multi-color stripes jumpsuit. Crafted using georgette, this jumpsuit has short sleeves and a V-neck. Work It: Keep it simple by teaming this jumpsuit with strappy heels."
Pink Short Sleeves Printed Top,"Make a stunning style statement with this elegant pink top from GAP. Crafted in rayon, style this top with a pair of girlfriend denims and high heels to complete the ensemble."
Black Patterned Eyelet Apron Maxi Dress,"Elevate your weekend line-up with this eyelet apron dress from GAP. Woven from smooth cotton in a maxi silhouette, this fully lined piece features adjustable shoulder straps, buttoned closure at front and an elasticized waist with inner drawcord ties . Team it with simple accessories and tan brogues."
Grey Embellished Drop Shoulder Top,"This grey patterned top from Faballey will be a great addition to your wardrobe. Featuring high neck and short sleeves, style this top with a pair of matching denim jeans and block heels to complete your look for any casual occasion. Top only."
Green Embellished Gown,Biba Green Embellished Gown
Yellow Laced In Me Jumpsuit,Yellow rayon with lace sleeves jumpsuit. Off shoulder elasticated neckline with short sleeves. Elasticated waist for ease and comfort. Flared bottom silhouette.
Beaded Gold Tulle Shrug,"This grey and golden shrug by Attic Salt is crafted in net and features 3/4th sleeves and embellishments all over. Buy this shrug online and team it with a camisole, straight pants and heels to create a statement look."
Black Midi Dress,"This black cotton A-line dress is folded round the collar and features checks pattern, balloon sleeves, midi length and has a regular fit. It comes with a matching belt. Style this dress with drop earrings and stilettos. Buy this dress online."
Royal Blue Trendy Temptation Maxi Dress,Royal blue polyester moss crepe maxi dress. Off-shoulder dress with short sleeves. Buttoned front for style & fastening. Smocking at the back. Fit & flare silhouette.
Women White Striped Embroidered Rayon Top,"This white top is a must-have in your collection. Style it with straight pants, subtle accessories and heels to complete the look."
Black The Power Of Classic Jumpsuit,"Be all set for the weekend by wearing this black polka dot printed jumpsuit from Twenty Dresses. Style With: Pair it with strappy stilettos, tote bag and dangling earrings to enhance those easy-breezy looks."
Peach Flared Top,"This peach top by Idalia is crafted in cotton and features a mandarin neck, 3/4th sleeves, a flared silhouette and a regular fit. Team this top with straight pants and heels to create a trendy look."
Multi-Color Living For Stripes Midi Dress,Multicolour cotton stripe dress. Fit and flare silhouette. Concealed zipper on the left and fabric belt for style. Centre front buttons all the way to the hem. Ruffles at sleeve hem for detailing.
Robin Dress,The robin dress is a minimalist made from the lightest and pure cotton fabric.
Black Embroidered Cold Shoulder Dress,Georgette Embroidered Cold Shoulder Mini Dress
Navy Blue Let Me Love You Jumpsuit,Navy blue polyester jumpsuit. Sleeveless with glass neckline. False placket with buttons on front yoke for style. Waist tie-up. Center back zipper for fastening & ease.
Coral Short Sleeves Printed Top,"Make a stunning style statement with this elegant pink top from GAP. Crafted in modal, style this top with a pair of girlfriend denims and high heels to complete the ensemble."
Yellow Work Wear Top,"This yellow solid top from AND will be a great addition to your western wear collection. Featuring a collar neck and half sleeves, pair this top with jeggings or denim jeans and casual footwear to complete the look. Top only."
Beige Bird Spirit Cotton Kalamkari Knee Length Dress,"Dance your way through life and its chores like a free bird with our airy and flairy ‘Bird Spirit’ dress. It’s a very light shade of grey, and this pretty colour is filled with blue prints of vine plants all over the dress. A classy silhouette of A-cut that branches out from a straight-cut dress, it has 2 pockets to slide those hands in and be at ease, carefree. This fresh summer wear has really small pleats on front top and big prominent pleats on waist."
Burgundy Crew Neck Solid Cardigan,"Get snuggly in this purple cardigan by Aeropostale cut from blended fabric to keep you at ease. It has a crew neck and long sleeves with ribbed hems. Slip into this piece, paired with jeans and sneakers to step out in style this season."
Black Sporty Culotte & Crop Top (Set of 2),Make a stunning statement with this black crop top and culotte set from The Silhouette Store. Style this set with a pair of high heels and statement accessories to complete the look.
Pink Embroidered Gown,Biba Pink Embroidered Gown
Green Dappled Dots Top,Green abstract printed polyester crepe top. High neckline with a smocked band at neckline. Regular full length sleeves with a smocked cuff. Smocked band at waist.
Red Ruche Me Over Dress,Red polyester knit sheath dress. Three fourth puff sleeves with an overlapping v neckline. Ruching on the left side for detailing and style. Curved overlapping hemline.
Navy Blue You Are Still The One Slit Dress,Navy blue polyester knit maxi dress. Deep incut high neckline & a side slit for style. Pleated detailing at neck. Hook & eye at the back for fastening & ease.
Green Elodie Ruffled One Shoulder Dress,"In vibrant green paisley jacquard fabric, this ruffled, asymmetric midi dress is finished with a statement one-shoulder detail. Complete the event-ready outfit with all-white accessories."
Sakhi jaipur Pink Printed Handloom Shirtdress,Sakhi Jaipur presents this pink handloom embroidered shirt dress with side pocket front bottom and collar neck. It is curated to give you an elegant and Morden look. Pair it with pants or carry it individually.
Red Get On The Right Side One Shoulder Jumpsuit,A red one shoulder knitted jumpsuit with straight leg bottoms. It has a concealed side zipper for fastening & ease.
Black Square Neck Peasant Cotton Linen Top,"This black top is crafted in cotton and features a square neck, 3/4th sleeves, a front wooden buttons placket and a regular fit. Style this top with a pair of beige culottes and high heels to make a statement."
Navy Blue Checked Off Shoulder Belted Top,"Statement tops with extra detailing will always come in handy on those rushed Monday mornings. This one features a checked print with a Bardot shoulder, a knot detail in the front and tiered sleeves. Style Tip: Pair this with ripped denim jeans."
White Victorian Sleeved Satin Top,"This white top is crafted in satin and features a V-neck, long sleeves accented with elasticated cuffs and a regular fit. Style this top with a pair of high-rise denims and mid-high heels to complete the look."
Teal You Complete Me Jumpsuit,"Crafted in polyester crepe with a polyester knit lining, this jumpsuit sees the coming together of a statement shade on a staple silhoutte. It features adjustable shoulder straps, an onverlapping v-neckline, pleats on the left, a straight bottom and a concealed zipper at the back. Style with: Gold heels, a clutch and classic studs. The model (height 5'6"") is wearing a size XS"
Maroon Floral Back Cut Out Maxi Dress,"This maroon sleeveless maxi dress by Faballey is crafted in polyester and features a halter neck with back zip fastening,tie-up details on the back,floral print and a regular fit.Buy this dress online and pair it with heels and silver earrings to complete the look."
Blue Printed Fit & Flare Dress,"An amazing range of women Dress in soft and solid colours that looks perfect for regular wear. With beautiful designs and patterns, these apparels are very stylish and comfortable too. Get rid of the 'regular' look this season wearing this dress"
Navy Blue & Yellow Striped Wrap Jumpsuit,Take on some line-on-line action with this trendy striped navy jumpsuit. This one features navy and yellow stripes with a wrap style V-neck and an attached belt. Style Tip: Pair it with sneakers and some sunglasses for a fun casual look.
Linen Cotton Navy Blue Collared Dress,Make a statement with this collared dress by trueBrowns. Pair it with fine accessories and heels to look effortlessly stylish.
Black Floral Bodycon Dress,"This black floral printed dress by Cover Story is crafted in polyester and features an off-shoulder neck, half puff sleeves, an asymmetrical hemline and a regular fit. Style this dress with a pair of high heels and statement accessories to complete the look. Buy this dress online."
Black Show Me Off Dress,"Featuring net detailing at the neck yoke and waist for style, this black dress from Twenty Dresses is perfect to don for casual occasions and events. Style With: A pair of black block heels, a box clutch and statement earrings will complete this stunning style."
Red Sleeveless Top,"This red top is crafted in cotton and features a v-neck, a sleeveless design, a self tie-up fabric belt and a regular fit. Style this top with a pair of skinny denims and high heels to complete the look."
Black Gardens Of Bloom Maxi Dress,Black floral printed maxi dress. Fit and flare silhouette. Double adjustable shoulder straps with an overlapping v neckline. Concealed zipper on the left for fastening and ease. Floral dresses are back with a refreshing vibe for the season. Your vacation wardrobe is surely in for a easy-breezy silhouette that is a mix of both comfort & style. Accessorize with: t-strap flats minimal jewellery and a cute crossbody bag will complete this casual chic look!
Black Pretty Much Checks Midi Dress,Black Checks Cotton Midi Dress. Shoulder Straps with buttoned front false placket . Tie-up at waist for style. Side Zipper for fastening & ease. A-line silhouette.
Mustard Hung Up On You Floral Dress,Mustard floral printed rayon dress. Overlapping v-neckline. Smocked band at the waist for style and comfort. Full sleeves with gathers at the top and elasticated at the wrist. Floral dresses create an effortless all in one outfit and can easily transition from day to night!. Accessorize with: tie up flats and a cute crossbody bag will complete this casual chic look!
Off Shoulder Red Floral Print Long Dress,"This red floral printed dress is crafted in viscose and features an off-shoulder neck, short sleeves, a smocked bodice, a tiered skirt and a regular fit. Style this dress with a pair of high heels and statement accessories to complete the look."
Brown Classics In My Basics Top,Brown polka rayon top. V-neckline with 3/4th flared sleeves. Buttoned front for fastening.
Multi-Color Striped V-Neck T-Shirt Dress,"This multi-color dress by GAP is crafted in cotton and makes the perfect pick to don for daytime events and occasions. Style this stunning dress with a pair of block heels, statement accessories and a chic sling bag to complete the ensemble."
Black Get Slit Done Jumpsuit,Inspire chic finesse in your line-up with this black jumpsuit from Twenty Dresses. Style With: Look Glamorous by pairing it with a sequined clutch and a pair of black block heels!
Off White Floral Printed Mini Dress,Revive your wardrobe with refreshing outfits.. Wear this off white floral mini dress from AND and pair it with hoop earrings and heels for a brunch date or at the beach.
White Key Hole Back Floral Maxi Dress,Peplum White Key Hole Back Floral Maxi Dress
White Button Down Midi Dress,Featuring a white button-down dress in organic cotton with wooden buttons and schiffli eyelet embroidery details.<br>
Grey Sunbeam Cotton Slub Bomber Jacket,"Our passion for colours continues in this bomber jacket crafted with love for the Okhai woman on the go. Light grey cotton slub is hand embroidered with a bouquet of rainbow colours to add a gleam to this trendy outfit. Complete with a smart zip, elastic on the waist & sleeves.Style this versatile bomber with your favourite denim, or layer it over your Okhai."
Maxi Black Polka Dot Dress,Peplum Maxi Black Polka Dot Dress
Maroon Am To Pm Midi Dress,Midi dress with gathering at the neck
Mustard Solid Ballon Sleeve Top,From the premium range of Amaiva presents tan colour solid peplum style viscose top that has box pleats and buttons detailing with front slit and it has gathered sleeves that makes it more stylish and unique.
Black Long Coat,"This black long coat by Vero Moda is crafted in polyester and features lapel collars, long sleeves and pockets on the front. Buy this coat online and team it with a dress or a top and trouser pants to create a statement look."
Beige Double Breasted Crop Blazer,"Equal parts glamorous and quirky, this beige double breasted crop blazer is a must add to your structured closet. Style your look with our beige crossover pants and strappy heels to take on the day with confidence and glam."
KAZO Light Blue Peplum Top With Ruffled Sleeves,"This blue solid top from Kazo will be a perfect addition to your western wear collection. Featuring a square neck and bell sleeves, style this top with a pair of jeggings and heels to complete the look. Top only."
White Kira Belted Linen Jumpsuit,"Cut from white linen, this wrap bodice jumpsuit is an easy-to-wear wardrobe staple. Style yours with sandals on casual days or elevate the look with high-block heels for evening events.<br>Product features<br><br>  <li>Length: Inside Leg: 62.5cm; Front Rise: 34.2cm; Leg Opening: 68.7cm (Size AU 8)</li><br>  <li>Pleated bodice</li><br>  <li>Wide, relaxed leg</li><br>  <li>Linen-blend fabrication</li><br><li>Adjustable straps with internal button fastening</li><br>  <li>Functional pockets</li><br>  <li>Detachable belt with resin buckle</li><br>  <li>Zip back/hook and eye fastening</li><br><li>Cotton lining</li><br>"
Beige Solid Sweatshirt,"This beige pullover by Cover Story is crafted in viscose and features a round neck, long sleeves and a slim fit. Style this pullover with a pair of skinny denims and high heels to complete the look. Buy this pullover online."
Dusty Pink Tiered Halter Jumpsuit,"This pink solid jumpsuit from Faballey will be a great addition to your wardrobe. Featuring high neck and sleeveless design, style this jumpsuit with drop earrings and heels to make a statement at any party events that you attend."
Navy Blue Organza Ruffle Top,"This navy blue organza sleeveless top by All About June features ruffle trims building around the round neckline and a regular fit. Pair this top with trousers, stud earrings and heels to make a statement."
Pink Jasmine Tuxedo Dress,"Embrace minimal and modern event wear with our blush pink tuxedo dress. It's a perfect choice for cocktail events, simply team with nude heels and an espresso martini."
Navy Blue Top,"This navy blue satin sleeveless pleated top by Mish features a high neck, back closure and a regular fit. Pair this top with jeggings and heels to complete the look. Top only."
Rosa Ruffle Flock Cold Shoulder Top,"This black cold shoulder top by Forever New is crafted in polyester and features floral motifs all over, long sheer fabric sleeves with ruffle detailing  and a relaxed fit. Team this top with denims and heels to create a stylish look."
Pink Solid Top,Give your look a hint of glamour with this top. Pair it with heels and fine accessories to complete the look.
Navy Blue Top,"This blue top from ONLY is crafted in viscose and features round notch neck with button placket and long sleeves with buttoned cuffs and a regular fit. Buy this top online and pair it with jeans, hoop earrings and nude heels for a trendy look."
Maroon On A Style Ride Crop Top,Maroon high twist rayon crop top. Lace detailing at front yoke & neckline. 3/4th sleeves with round tie-up neckline. Smocking at the hem. Buttoned front for fastening & ease.
Pink Azalea Ruched Maxi Dress,"Perfect for weddings and events alike, this pink printed maxi dress has on-trend ruching details and pretty flutter sleeves. For an effortless event-ready ensemble style yours with metallic accessories and wavy locks."
Yellow Soul Full Of Sunshine Jumpsuit,"Crafted in satin with a polyester knit lining, this jumpsuit is the perfect way to bring sunshine shades into your after-hours wardrobe. It features a neckline with tie-ups, gathers at the waist, a flared bottom and a concealed left zipper for closure. Style with: PVC heels, a small sling bag and golden hoops. The model (height 5'6"") is wearing a size XS"
Blue Darling Midi Dress,Flowy midi dress with one shoulder bell sleeve and spaghetti strap
Green Living On The Lines Striped Jumpsuit,Green Striped Polyester Moss Crepe Jumpsuit. Halter Neck and deep incut strappy neckline. Elasticated waistline. Tie-up at the back neck for fastening and ease.
Brown V-Neck Shirt,Create a smart look with this shirt from ONLY. Pair it with straight pants and heels to complete the look.
Brown Colored At The Edges Jumpsuit,Brown stripe printed polyester moss crepe jumpsuit. Sleeveless mandarin collar with button down the centre front for ease and comfort.. Elasticated back waist and a separate belt for ease and comfort. Straight legged bottoms with pockets on both sides for style and comfort.
Beige Band Collar 3/4 Sleeves Printed Long Dress,"This beige printed maxi dress by Label Ritu Kumar is crafted in cotton, viscose and georgette and features a notch neck, 3/4th sleeves, a gathered detail and a flared silhouette. Buy this dress online and pair it with heels and fine accessories to create a trendy look."
Sharna Frill Bardot Knit Dress,"This black off shoulder dress by Forever New is crafted in viscose and rayon, fitted and features a frill detail and a criss-cross tie-up detailing at the back. Buy this dress online and team it with heels and fine accessories to create a trendy look."
Maroon Sequin Bell Cuff Gown,This maroon gown by Attic Salt is crafted in polyester and features a round neck and long bell sleeves with sequin embellishments. Buy this gown online and team it with heels and fine accessories to create a statement look.
KAZO Black Notch Collar Jumpsuit,"This black solid jumpsuit from Kazo will be a perfect addition to your western wear collection. Featuring a collar neck and short sleeves, pair this jumpsuit with minimal accessories and platform heels to complete the look."
Classic Black Overlap Dress - Black,<p><b>Product Color:</b> Black</p><ul><li>You Can Never Go Wrong With A Classic Black Dress.</li><li>This Overlap Dress Is Crafted In Breathable Cotton And Contrasted With Gold/Black Buttons.</li><li>A Dress With Pockets Is A Women's Bestfriend.</li></ul><p><b>Care Instructions: </b></p><ul><li>Dry Clean</li><li>Wash Dry</li></ul>
Olive Solid Gather Top,"Featuring a front tie-up detail, this olive green top from The Silhouette Store makes an elegant addition to your casual wardrobe. Style this top with a pair of skinny denims, high heels and statement accessories to complete the look."
Ayatal Printed Palazzo Pants With Crop Top (Set of 2),Wear this ikat print crepe embroidered choli by Payal Singhal to make a style statement. It comes with ikat stripe print crepe embroidered palazzo. Style it with statement jewellery and embellished footwear to ace the outfit.
Yellow Embroidery Top,This yellow top by Cover Story will be a great addition to your wardrobe. Pair it with straight fit pants and heels to complete the look.
Coral Embroidered Jumpsuit,Up your style game with this jumpsuit. Pair it with heels or flats and fine accessories to complete the look.
Multi-Color Stripe Long Sleeve T-Shirt,Upgrade your casual wear collection with this stunning grey and white striped t-shirt from GAP. Team this t-shirt with a pair of black denim bottoms and high heels to make a statement.
Blue Tea-Date Cotton Hand Block Midi Dress,"Tea and tea-meetings are a serious matter in China and of course India runs on ‘Chai pe charcha’. For those fun and informative tea-gatherings, we have a outgoing dress in Indigo colour in a very comfortable fabric for the summers that is - Cotton with hand block print. 2 pockets to store that mobile etc and a adjustable design waist line, this Chinese collar dress comes with matching potli buttons and a scattered mirror work on front top and the edges of both the sleeves."
KAZO Black V - Neck Printed Dress,"This black floral dress from Kazo will be a perfect addition to your western wear collection. Featuring a V-neck and 3/4th sleeves, pair this dress with minimal accessories and heels to complete the look."
Black Round Neck Sweater,"This black printed sweater by Vero Moda is crafted in nylon and features a round neck, long sleeves, and a regular fit. Buy this sweater online and style it with a pair of skinny jeans and platform heels to make a statement."
Black V-Neck Top,This top by ONLY is a must-have. Pair it with denims and heels to look stunning.
White Polka Dot Top,This top by cover story is sure to give you the best compliments. Pair it with denims and flats to complete the look.
Peach Floral Top,"This peach top is crafted in cotton and features a v-neck, a sleeveless design, a self tie-up fabric belt and a regular fit. Style this top with a pair of skinny denims and high heels to complete the look."
Dohyenne Green Asymmetric Cocktail Dress,Dohyenne Asymmetric multi Layered Cocktail Dress
Lana Satin Tipped Shoulder,This black satin one shoulder top by Forever New is crafted in polyester and features long sleeves and a relaxed fit. Buy this top online and pair it with straight pants and heels to create a statement look.
Navy Floral Ruched Shift Dress,"This navy blue printed dress by Faballey is crafted in polyester and features a round neck,short sleeves with tie-up details and a regular fit.Buy this dress online and pair it with sneakers and sling bag to complete the look."
Dark Green Cotton Flex Top,"Premium Collection by Janasya. Turn up your style with this charming top designed by Janasya. This cotton flex top has round neck, pleates on front and is without sleeves with checks print all over it. Meet your friends out for a drink with this easy breezy summery top when combined with washed denims and ballerina flat."
Silver Come And Get Me Sequin Maxi Dress,"Created in silver sequin and polyester knit lining, this maxi dress features an overlapping v-neckline, long fitted sleeves, an overlapping slit and a concealed zipper on the left for closure. Style With : gold stilettos, a box clutch and statement earrings will take this look to the next level."
Mustard Chirpy Crop Top,Crop top with pleat detail all over
Blue Printed Tunic,"This blue printed top is crafted in crepe and features a V-neck, long sleeves, a front buttons placket and a regular fit. Style this top with a pair of skinny denims and high heels to complete the look."
Blush Pink Balloon Sleeve Crop Top,"This pink one shoulder top by Torqadorn is crafted in satin and features a V neck, long balloon sleeves on one side, a pleated detailing on the front and a tie-up detail on the neckline. Buy this top online and pair it with trouser pants and heels to complete the look."
White Daydreamer Midi Dress,Straight midi dress with mesh fabric detailing
And Black Printed Top,"This black printed top by AND is crafted in polyester and features a round neck, 3/4th sleeves and a regular fit. Style this top with a pair of regular denims and platform heels to complete the look."
Navy Blue Patterned Eyelet Tie-Belt Dress,"Lift up your casual rotation with this eyelet dress from GAP. Woven from smooth cotton, this fully lined piece features a round neckline, tie-up at waist, long sleeves and two side waist pockets. Team it with simple accessories and tan brogues."
Red V Neck Sleeveless Long Dress With Camisole (Set of 2),"This red calf-length dress by Label Ritu Kumar is crafted in a blend of viscose and crepe, sleeveless and features a V neck, floral motifs all over, a flared silhouette and comes with a camisole. Pair this dress with heels and fine accessories to complete the look. Buy this dress online."
KAZO mauve Embellished Tier Sleeves Top,"This mauve embellished top from Kazo will be a perfect addition to your western wear collection. Featuring a round neck and flare sleeves, style this top with a pair of jeggings and flats to complete the look. Top only."
X GOT Steel Blue House Targaryen Crop Top,This crop top is a must-have in your wardrobe. Team it with denims and sneakers to complete the look.
Blue All I Want Is Floral Dress,Blue floral printed georgette dress. Sheath silhouette with bias ruffles at the hem. Wide square neck with puff sleeves. Polyester knit lining inside for comfort. Concealed zipper on the left for fastening and ease.
Black Asymmetric Knee Length Dress,Decorated with plethora of beads at the hem and cuffs this asymmetric hem dress looks gorgeous in red. Cold sleeves add to the drama.
S.O.I.E. Mint Green Bell Sleeve Top,You'll surely love the comfort and style of this fashionable SOIE top. A fun night out with your friends is as easy as putting this mint green piece with a trendy trainer and darker denim jeans. Top only.
Multi-Color Stripes Printed Mini Dress,Start off your day in this elegant multi-colour striped dress from AND and wear it with stud earrings and flats to complete the look.
Orange Raglan Printed Shirt,Short front with long back shirt Cum top.  A delicate print with buttons in the front. Style this piece with black jeans and earring of Boho detailing.
Misty Rose Pink Blazer,This pink blazer by Vero Moda is crafted in polyester and features long sleeves and a button closure and pockets on the front. Buy this blazer online and pair it with a dress or a top and trousers to create a stylish look.
Blue Double Up On Layers Tops,Blue polyester moss crepe top. Sleeveless high neck top. Layered at the hemline for styling. Hook at the back for fastening and ease.
Black Yellow Polka Ruched Wrap Dress,Add a touch of flirt to a cute evening look with this black polka dress. Featuring a wrap front and a V-neck. Work It: Style this dress with a mini bag and strappy heels to complete the look.
Rust Solid Mini Dress,"This rust dress by Vero Moda is crafted in polyester and features a high neck with tie-up details, short sleeves, buttons placket details on the shoulder, side slit pockets and a regular fit. Buy this dress online and style it with a pair of high heels and statement accessories to complete the look."
Purple Style Midi Dress,Kaftan style dress with our signature sunrise embroidery on the neck is one of our favourites
Grey Sleeveless Sleeves Solid Tunic,This stunning blue shirt by GAP is crafted in cotton and makes an elegant pick to wear for every occasion and location. Team this shirt with a pair of skinny denims or straight cut trousers and high heels to complete the look.
Green Printed Top,"This green printed top is crafted in crepe and features a mandarin collar neck, 3/4th sleeves, soft gather details and a regular fit. Style this top with a pair of skinny denims and high heels to complete the look."
Brown Collar Neck Mini Dress,This dress is meant for the fashion-forward women. Style it with your favourite high heels and a cute small box clutch to complete this gorgeous look.
Black Turning Heads Sequin Dress,"Crafted using matte black sequins with a polyester knit lining, this dress is an update on the classic LBD. It features shoulder straps, a v-neckline, a deep incut at the back, and a concealed zipper on the left. Style with: A pair of strappy stilettos and a micro bag. The model (height 5'6"") is wearing a size XS"
Navy Blue V Neck Full Sleeves Long Dress,"This blue maxi dress by Label Ritu Kumar is crafted in a blend of viscose and georgette and features a V neck, long sleeves, floral motifs all over and a button detailing on the yoke. Pair this maxi dress with heels and fine accessories to complete the look. Buy this maxi dress online."
Danielle Lace Up Front Knit Dress,"This black dress by Forever New is crafted in viscose and rayon and features a round neck, a criss-cross detailing on the yoke, long sleeves and a flared silhouette. Buy this dress online and team it with heels and fine accessories to create a trendy look."
KAZO Blush Pink Cold Shoulder Lurex Lace Top,"This pink patterned top from Kazo will be a perfect addition to your western wear collection. Featuring a cold shoulder and long sleeves, style this top with a pair of jeggings and flats to complete the look. Top only."
Pink Giraffe Pop Off Shoulder Dress,Pair the pink giraffe pop off shoulder crepe dress with golden hoops to ace the holiday look!
Aisha Asymmetric Button Maxi Dress,"This orange dress by Forever New is crafted in polyester and features a V-neck, shoulder straps, tie-up back and a regular fit. Style this dress with a pair of high heels and statement accessories to complete the look."
Pink Logo Short Sleeve Crewneck T-Shirt,GAP's t-shirt features a cool logo graphic at front that adds a cool flair to this style. It's made from uber-soft cotton jersey and finished with a crew neck and short sleeves. Slip yours on over cuffed shorts for a day in the sun.
Red Anna Cotton Skirt and Top (Set of 2),"Contemproray ensembles From Free Living makes every day rich and playful. 
<br>Simple details and comfort calls you.
<br> 100% Cotton
<br> Made in India
<br>"
Ft Ananya Panday Beige Cropped Sweatshirt,Keep things simple and smart with this sweatshirt from ONLY. Style it with denims and sneakers for a look that will get you massive style points.
Yellow 1969 Logo Crewneck Sweatshirt,"Soft, cozy fleece knit , Rib-knit trim crewneck , Dropped shoulders. Long blouson sleeves with banded rib-knit cuffs , Banded rib-knit hem , Patch 1969 logo applique at chest , Straight silhouette with a relaxed fit , Hits at the hip ,"
Yellow Mandarin Neck Floral A-Line Yellow Dress,Peplum Yellow Mandarin Neck Floral A-Line Yellow Dress
Grey Printed Dress,This dress is sure to give you the best compliments. Pair it with heels and fine accessories to complete the look.
Green The New Flair Maxi Dress,Sage green polyester georgette maxi dress with polyester knit lining inside. V neckline with ruffled sleeves. Buttoned on the front yoke for style. Fit & flare silhouette with slit. Center back zipper for fastening & adjustment.
MARTINI Black & White Checks Ruffle Cotton Top,This black and white check top features a ruffled neck highlighted with black neck band and yellow eyelet embroidery on its hem. Style this top with a pair of skinny demins and high heels to complete the look.
Teal New Margot Puff Sleeve Jumpsuit,"Achieve effortless elevation in our puff-sleeve jumpsuit, cut from eco-friendly TENCEL Lyocell fibres. We love it with white sneakers or low heels for a work to weekend look that'll make a statement. This garment is made from TENCEL Lyocell, an environmentally sustainable fibre made from naturally biodegradable wood pulp."
Yellow More Flower To You Top,Yellow floral printed polyester chiffon top. Polyester crepe lining inside for comfort and ease. High neck with ruffles for detailing. Three fourth bishop sleeves with a smocked cuff. Back loop buttons for fastening and ease.
Grey Solid V-Neck Top,"Made from a light linen fabric in a jersey knit, this soft top by GAP is a great choice for warm summer days. It's detailed with a V-neckline, short sleeves and an uneven vented hem. Wear yours with cropped jeans for a stylish look."
Sunrise Sequin Maroon Dress,"This maroon dress by Attic Salt is crafted in polyester and features a round neck, long sleeves and sequin embellishments on the hem and the sleeves. Buy this dress online and team it with heels and fine accessories to create a statement look."
Ft Ananya Panday Coral Text Print T-Shirt,This T-shirt by ONLY is what you need to stay in vogue. Pair it with denims and sneakers to slay the look.
